"Opera/9.80 (Windows NT 6.1 x64; U; en) Presto/2.7.62 Version/11.00",Desktop
"Opera/9.80 (Windows NT 6.1; U; en-US) Presto/2.7.62 Version/11.01",Desktop
"Opera/9.80 (X11; Linux x86_64; U; bg) Presto/2.8.131 Version/11.10",Desktop
"Opera/9.80 (X11; Linux i686; U; es-ES) Presto/2.8.131 Version/11.11",Desktop
"Opera/9.80 (X11; Linux x86_64; U; fr) Presto/2.9.168 Version/11.50",Desktop
"Opera/9.80 (Windows NT 5.1; U; en) Presto/2.9.168 Version/11.51",Desktop
"Opera/9.80 (Macintosh; Intel Mac OS X 10.6.8; U; fr) Presto/2.9.168 Version/11.52",Desktop
"Opera/9.80 (Windows NT 6.1; U; es-ES) Presto/2.9.181 Version/12.00",Desktop
"Opera/9.99 (Windows NT 5.1; U; pl) Presto/9.9.9",Desktop
"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7; en-us) AppleWebKit/533.4 (KHTML, like Gecko) Version/4.1 Safari/533.4",Desktop
"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_3; en-us) AppleWebKit/534.1+ (KHTML, like Gecko) Version/5.0 Safari/533.16",Desktop
"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_4; th-th) AppleWebKit/533.17.8 (KHTML, like Gecko) Version/5.0.1 Safari/533.17.8",Desktop
"Mozilla/5.0 (Windows; U; Windows NT 6.1; zh-HK) AppleWebKit/533.18.1 (KHTML, like Gecko) Version/5.0.2 Safari/533.18.5",Desktop
"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_7; en-us) AppleWebKit/534.16+ (KHTML, like Gecko) Version/5.0.3 Safari/533.19.4",Desktop
"Mozilla/5.0 (Windows; U; Windows NT 6.1; tr-TR) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.4 Safari/533.20.27",Desktop
"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_6; zh-cn) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.4 Safari/533.20.27",Desktop
"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_8; de-at) AppleWebKit/533.21.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.1",Desktop
"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0; XBLWP7; ZuneWP7)",Desktop
"Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2) Gecko/20100222 Firefox/3.6 Kylo/0.8.4.74873",Tv
"Mozilla/5.0 (X11; U; Linux i686; en-US) AppleWebKit/533.4 (KHTML, like Gecko) Chrome/5.0.375.127 Large Screen Safari/533.4 GoogleTV/b54202",Tv
"Opera/9.00 (Nintendo Wii",Tv
"Opera/9.30 (Nintendo Wii; U; ; 2047-7; en)",Tv
"Opera/9.10 (Nintendo Wii; U; ; 1621; en)",Tv
"Opera/9.00 (Nintendo Wii",Tv
"Opera/9.30 (Nintendo Wii; U; ; 2047-7; en)",Tv
"Opera/9.10 (Nintendo Wii; U; ; 1621; en)",Tv
"wii libnup/1.0",Tv
"Opera/9.30 (Nintendo Wii; U; ; 2047-7; en)",Tv
"Opera/9.10 (Nintendo Wii; U; ; 1621; en)",Tv
"Opera/9.80 (Linux mips ; U; HbbTV/1.1.1 (; Philips; ; ; ; ) CE-HTML/1.0 NETTV/3.1.0; en) Presto/2.6.33 Version/10.70",Tv
"Opera/9.80 (Linux armv6l ; U; CE-HTML/1.0 NETTV/3.0.1;; en) Presto/2.6.33 Version/10.60",Tv
"Opera/9.70 (Linux armv6l ; U; CE-HTML/1.0 NETTV/2.0.2; en) Presto/2.2.1",Tv
"Opera/9.70 (Linux mips ; U; CE-HTML/1.0 (); en) Presto/2.2.1",Tv
"Opera 9.50 (Linux Mips; U; CE-HTML/1.0 (); en)",Tv
"Mozilla/5.0 (SmartHub; SMART-TV; U; Linux/SmartTV) AppleWebKit/531.2+ (KHTML, Like Gecko) WebBrowser/1.0 SmartTV Safari/531.2+",Tv
"Mozilla/5.0 (X11; U: Linux i686; en-US) AppleWebKit/533.4 (KHTML, like Gecko) Chrome/5.0.375.127 Large Screen Safari/533.4 GoogleTV/162671",Tv
"Mozilla/5.0 (PLAYSTATION 3; 3.55)",Tv
"Mozilla/5.0 (PLAYSTATION 3; 2.00)",Tv
"Mozilla/5.0 (PLAYSTATION 3; 1.90)",Tv
"Mozilla/5.0 (PLAYSTATION 3; 1.70)",Tv
"Mozilla/5.0 (PLAYSTATION 3; 1.5)",Tv
"Mozilla/5.0 (PLAYSTATION 3; 1.10)",Tv
"Mozilla/5.0 (PLAYSTATION 3; 1.00)",Tv
"Mozilla/4.0 (PS3 (PlayStation 3); 1.00)",Tv
